Label (Grouping),United States,United States,United States,Alabama,Alabama,Alabama,Alaska,Alaska,Alaska,Arizona,Arizona,Arizona,Arkansas,Arkansas,Arkansas,California,California,California,Colorado,Colorado,Colorado,Connecticut,Connecticut,Connecticut,Delaware,Delaware,Delaware,District of Columbia,District of Columbia,District of Columbia,Florida,Florida,Florida,Georgia,Georgia,Georgia,Hawaii,Hawaii,Hawaii,Idaho,Idaho,Idaho,Illinois,Illinois,Illinois,Indiana,Indiana,Indiana,Iowa,Iowa,Iowa,Kansas,Kansas,Kansas,Kentucky,Kentucky,Kentucky,Louisiana,Louisiana,Louisiana,Maine,Maine,Maine,Maryland,Maryland,Maryland,Massachusetts,Massachusetts,Massachusetts,Michigan,Michigan,Michigan,Minnesota,Minnesota,Minnesota,Mississippi,Mississippi,Mississippi,Missouri,Missouri,Missouri,Montana,Montana,Montana,Nebraska,Nebraska,Nebraska,Nevada,Nevada,Nevada,New Hampshire,New Hampshire,New Hampshire,New Jersey,New Jersey,New Jersey,New Mexico,New Mexico,New Mexico,New York,New York,New York,North Carolina,North Carolina,North Carolina,North Dakota,North Dakota,North Dakota,Ohio,Ohio,Ohio,Oklahoma,Oklahoma,Oklahoma,Oregon,Oregon,Oregon,Pennsylvania,Pennsylvania,Pennsylvania,Rhode Island,Rhode Island,Rhode Island,South Carolina,South Carolina,South Carolina,South Dakota,South Dakota,South Dakota,Tennessee,Tennessee,Tennessee,Texas,Texas,Texas,Utah,Utah,Utah,Vermont,Vermont,Vermont,Virginia,Virginia,Virginia,Washington,Washington,Washington,West Virginia,West Virginia,West Virginia,Wisconsin,Wisconsin,Wisconsin,Wyoming,Wyoming,Wyoming,Puerto Rico,Puerto Rico,Puerto Rico
        200 percent of poverty level (2021),"92,740,902",(X),(X),"1,725,531",(X),(X),"172,262",(X),(X),"2,121,272",(X),(X),"1,111,328",(X),(X),"10,612,491",(X),(X),"1,274,914",(X),(X),"778,860",(X),(X),"245,642",(X),(X),"162,387",(X),(X),"6,655,796",(X),(X),"3,262,770",(X),(X),"327,929",(X),(X),"560,881",(X),(X),"3,334,855",(X),(X),"1,916,737",(X),(X),"815,869",(X),(X),"800,280",(X),(X),"1,541,126",(X),(X),"1,729,994",(X),(X),"344,760",(X),(X),"1,298,467",(X),(X),"1,437,715",(X),(X),"2,889,344",(X),(X),"1,233,672",(X),(X),"1,135,868",(X),(X),"1,773,275",(X),(X),"321,148",(X),(X),"495,132",(X),(X),"987,668",(X),(X),"235,520",(X),(X),"2,005,545",(X),(X),"795,268",(X),(X),"5,435,337",(X),(X),"3,208,597",(X),(X),"195,751",(X),(X),"3,336,196",(X),(X),"1,394,585",(X),(X),"1,172,428",(X),(X),"3,322,405",(X),(X),"269,071",(X),(X),"1,647,998",(X),(X),"237,174",(X),(X),"2,203,040",(X),(X),"9,366,977",(X),(X),"787,176",(X),(X),"148,564",(X),(X),"1,950,907",(X),(X),"1,721,298",(X),(X),"637,646",(X),(X),"1,446,804",(X),(X),"154,642",(X),(X),"2,269,568",(X),(X)
        300 percent of poverty level (2021),"144,177,441",(X),(X),"2,595,556",(X),(X),"296,422",(X),(X),"3,365,284",(X),(X),"1,657,319",(X),(X),"16,423,081",(X),(X),"2,092,480",(X),(X),"1,232,142",(X),(X),"392,929",(X),(X),"215,112",(X),(X),"10,370,138",(X),(X),"4,990,022",(X),(X),"520,618",(X),(X),"912,358",(X),(X),"5,178,478",(X),(X),"3,147,536",(X),(X),"1,364,200",(X),(X),"1,293,414",(X),(X),"2,314,706",(X),(X),"2,472,031",(X),(X),"565,853",(X),(X),"2,031,808",(X),(X),"2,228,086",(X),(X),"4,519,265",(X),(X),"2,050,979",(X),(X),"1,654,752",(X),(X),"2,807,588",(X),(X),"508,795",(X),(X),"822,428",(X),(X),"1,543,955",(X),(X),"414,519",(X),(X),"3,106,960",(X),(X),"1,136,812",(X),(X),"8,111,964",(X),(X),"4,912,985",(X),(X),"320,985",(X),(X),"5,247,142",(X),(X),"2,086,631",(X),(X),"1,819,948",(X),(X),"5,266,028",(X),(X),"423,909",(X),(X),"2,519,595",(X),(X),"404,316",(X),(X),"3,399,414",(X),(X),"14,216,011",(X),(X),"1,420,023",(X),(X),"248,195",(X),(X),"3,106,774",(X),(X),"2,816,574",(X),(X),"941,309",(X),(X),"2,437,531",(X),(X),"252,481",(X),(X),"2,743,361",(X),(X)
        400 percent of poverty level (2021),"187,884,451",(X),(X),"3,290,429",(X),(X),"401,614",(X),(X),"4,379,271",(X),(X),"2,065,465",(X),(X),"21,176,222",(X),(X),"2,867,960",(X),(X),"1,637,068",(X),(X),"530,955",(X),(X),"270,470",(X),(X),"13,396,051",(X),(X),"6,439,075",(X),(X),"735,393",(X),(X),"1,217,377",(X),(X),"6,827,958",(X),(X),"4,164,736",(X),(X),"1,834,065",(X),(X),"1,739,312",(X),(X),"2,930,975",(X),(X),"3,049,847",(X),(X),"773,446",(X),(X),"2,772,732",(X),(X),"2,961,739",(X),(X),"5,943,802",(X),(X),"2,846,912",(X),(X),"2,046,753",(X),(X),"3,694,788",(X),(X),"664,352",(X),(X),"1,115,600",(X),(X),"1,977,680",(X),(X),"586,100",(X),(X),"4,171,393",(X),(X),"1,399,233",(X),(X),"10,423,423",(X),(X),"6,341,032",(X),(X),"428,177",(X),(X),"6,949,460",(X),(X),"2,631,252",(X),(X),"2,395,661",(X),(X),"7,007,459",(X),(X),"553,249",(X),(X),"3,248,917",(X),(X),"537,276",(X),(X),"4,382,400",(X),(X),"17,962,836",(X),(X),"1,952,613",(X),(X),"332,303",(X),(X),"4,199,238",(X),(X),"3,808,606",(X),(X),"1,173,809",(X),(X),"3,308,727",(X),(X),"339,240",(X),(X),"2,956,668",(X),(X)
        500 percent of poverty level (2021),"222,343,179",(X),(X),"3,793,723",(X),(X),"471,044",(X),(X),"5,132,849",(X),(X),"2,328,690",(X),(X),"24,928,537",(X),(X),"3,516,375",(X),(X),"1,990,316",(X),(X),"649,144",(X),(X),"320,162",(X),(X),"15,597,173",(X),(X),"7,510,053",(X),(X),"904,265",(X),(X),"1,425,286",(X),(X),"8,201,669",(X),(X),"4,923,440",(X),(X),"2,212,658",(X),(X),"2,071,117",(X),(X),"3,378,457",(X),(X),"3,465,892",(X),(X),"934,496",(X),(X),"3,412,263",(X),(X),"3,675,332",(X),(X),"7,080,664",(X),(X),"3,529,179",(X),(X),"2,322,044",(X),(X),"4,355,377",(X),(X),"775,735",(X),(X),"1,359,653",(X),(X),"2,299,171",(X),(X),"761,803",(X),(X),"5,098,739",(X),(X),"1,601,693",(X),(X),"12,377,296",(X),(X),"7,409,698",(X),(X),"518,437",(X),(X),"8,278,721",(X),(X),"3,020,212",(X),(X),"2,851,022",(X),(X),"8,483,083",(X),(X),"665,263",(X),(X),"3,789,422",(X),(X),"643,227",(X),(X),"5,091,926",(X),(X),"20,922,552",(X),(X),"2,328,932",(X),(X),"411,038",(X),(X),"5,101,392",(X),(X),"4,627,698",(X),(X),"1,350,082",(X),(X),"4,035,561",(X),(X),"410,618",(X),(X),"3,060,558",(X),(X)
UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED (2021),"64,514,255","15,483,525",24.0%,"917,137","273,203",29.8%,"156,078","31,404",20.1%,"1,443,051","327,414",22.7%,"553,793","166,260",30.0%,"7,037,344","1,716,919",24.4%,"1,272,890","253,003",19.9%,"716,072","155,501",21.7%,"193,799","42,448",21.9%,"248,026","46,831",18.9%,"4,427,619","1,069,927",24.2%,"1,879,200","451,728",24.0%,"259,127","68,060",26.3%,"338,572","82,406",24.3%,"2,500,180","570,446",22.8%,"1,329,233","319,051",24.0%,"685,785","162,652",23.7%,"570,707","142,356",24.9%,"858,552","254,304",29.6%,"874,435","278,430",31.8%,"318,571","74,130",23.3%,"1,131,626","227,011",20.1%,"1,516,325","318,457",21.0%,"2,077,648","508,919",24.5%,"1,232,929","254,318",20.6%,"503,980","160,082",31.8%,"1,246,517","318,823",25.6%,"254,945","60,702",23.8%,"396,425","93,785",23.7%,"676,145","157,584",23.3%,"278,633","47,109",16.9%,"1,556,928","327,735",21.1%,"428,475","123,029",28.7%,"4,225,443","1,026,172",24.3%,"2,050,564","516,761",25.2%,"176,751","42,592",24.1%,"2,507,262","615,015",24.5%,"757,566","207,685",27.4%,"1,016,660","256,022",25.2%,"2,641,598","612,755",23.2%,"245,364","59,525",24.3%,"973,367","257,505",26.5%,"186,670","41,669",22.3%,"1,353,907","348,758",25.8%,"4,795,998","1,147,656",23.9%,"488,403","118,476",24.3%,"156,285","35,462",22.7%,"1,645,006","347,667",21.1%,"1,639,493","336,640",20.5%,"353,300","112,068",31.7%,"1,299,480","289,634",22.3%,"120,391","27,436",22.8%,"601,485","328,124",54.6%
    Male (2021),"31,752,999","6,877,927",21.7%,"434,885","111,034",25.5%,"85,543","15,881",18.6%,"725,556","151,603",20.9%,"262,823","69,204",26.3%,"3,532,408","763,756",21.6%,"664,866","118,613",17.8%,"344,194","73,112",21.2%,"91,610","17,117",18.7%,"117,801","21,041",17.9%,"2,177,661","480,372",22.1%,"907,400","194,772",21.5%,"131,029","33,778",25.8%,"170,229","35,805",21.0%,"1,222,272","258,085",21.1%,"655,896","135,334",20.6%,"344,687","70,436",20.4%,"283,684","63,995",22.6%,"419,751","112,198",26.7%,"422,198","122,476",29.0%,"150,702","33,074",21.9%,"534,776","97,158",18.2%,"720,095","136,687",19.0%,"1,018,852","232,155",22.8%,"618,445","114,543",18.5%,"242,830","69,888",28.8%,"596,817","137,128",23.0%,"135,369","30,223",22.3%,"194,110","40,742",21.0%,"360,333","75,321",20.9%,"137,658","18,110",13.2%,"747,572","137,867",18.4%,"214,601","58,309",27.2%,"2,016,071","460,844",22.9%,"972,493","224,769",23.1%,"97,200","21,252",21.9%,"1,235,873","281,586",22.8%,"375,199","93,215",24.8%,"505,596","119,300",23.6%,"1,276,062","269,733",21.1%,"119,041","25,566",21.5%,"462,060","114,857",24.9%,"94,071","17,491",18.6%,"652,327","148,915",22.8%,"2,447,329","508,242",20.8%,"248,761","51,415",20.7%,"73,751","16,257",22.0%,"792,783","148,046",18.7%,"836,101","155,932",18.6%,"169,340","49,838",29.4%,"648,611","128,208",19.8%,"63,677","12,644",19.9%,"272,522","137,338",50.4%
    Female (2021),"32,761,256","8,605,598",26.3%,"482,252","162,169",33.6%,"70,535","15,523",22.0%,"717,495","175,811",24.5%,"290,970","97,056",33.4%,"3,504,936","953,163",27.2%,"608,024","134,390",22.1%,"371,878","82,389",22.2%,"102,189","25,331",24.8%,"130,225","25,790",19.8%,"2,249,958","589,555",26.2%,"971,800","256,956",26.4%,"128,098","34,282",26.8%,"168,343","46,601",27.7%,"1,277,908","312,361",24.4%,"673,337","183,717",27.3%,"341,098","92,216",27.0%,"287,023","78,361",27.3%,"438,801","142,106",32.4%,"452,237","155,954",34.5%,"167,869","41,056",24.5%,"596,850","129,853",21.8%,"796,230","181,770",22.8%,"1,058,796","276,764",26.1%,"614,484","139,775",22.7%,"261,150","90,194",34.5%,"649,700","181,695",28.0%,"119,576","30,479",25.5%,"202,315","53,043",26.2%,"315,812","82,263",26.0%,"140,975","28,999",20.6%,"809,356","189,868",23.5%,"213,874","64,720",30.3%,"2,209,372","565,328",25.6%,"1,078,071","291,992",27.1%,"79,551","21,340",26.8%,"1,271,389","333,429",26.2%,"382,367","114,470",29.9%,"511,064","136,722",26.8%,"1,365,536","343,022",25.1%,"126,323","33,959",26.9%,"511,307","142,648",27.9%,"92,599","24,178",26.1%,"701,580","199,843",28.5%,"2,348,669","639,414",27.2%,"239,642","67,061",28.0%,"82,534","19,205",23.3%,"852,223","199,621",23.4%,"803,392","180,708",22.5%,"183,960","62,230",33.8%,"650,869","161,426",24.8%,"56,714","14,792",26.1%,"328,963","190,786",58.0%
    15 years (2021),"80,108","78,709",98.3%,698,624,89.4%,94,64,68.1%,"2,153","1,879",87.3%,492,492,100.0%,"9,142","8,946",97.9%,"1,325","1,280",96.6%,"1,059","1,059",100.0%,66,66,100.0%,137,137,100.0%,"7,023","6,927",98.6%,"3,112","3,112",100.0%,822,822,100.0%,671,671,100.0%,"2,796","2,629",94.0%,"2,764","2,764",100.0%,"1,097","1,084",98.8%,679,679,100.0%,"1,610","1,610",100.0%,428,232,54.2%,153,153,100.0%,"1,040","1,040",100.0%,"1,094","1,043",95.3%,"2,568","2,568",100.0%,"2,535","2,535",100.0%,548,485,88.5%,"1,300","1,300",100.0%,158,158,100.0%,"1,268","1,268",100.0%,"1,263","1,263",100.0%,606,606,100.0%,"2,064","2,064",100.0%,98,98,100.0%,"3,669","3,669",100.0%,"2,232","2,232",100.0%,0,0,-,"3,815","3,815",100.0%,"1,183","1,171",99.0%,"2,271","2,271",100.0%,"2,431","2,386",98.1%,390,390,100.0%,"1,032","1,032",100.0%,317,317,100.0%,"1,586","1,586",100.0%,"4,915","4,862",98.9%,572,538,94.1%,55,55,100.0%,835,835,100.0%,"1,834","1,804",98.4%,465,465,100.0%,"1,510","1,510",100.0%,133,113,85.0%,449,449,100.0%
    16 to 17 years (2021),"183,062","171,327",93.6%,"1,986","1,819",91.6%,779,779,100.0%,"5,926","5,816",98.1%,"1,835","1,809",98.6%,"20,303","19,160",94.4%,"3,781","3,781",100.0%,"1,808","1,808",100.0%,176,176,100.0%,163,163,100.0%,"13,092","11,554",88.3%,"5,722","5,150",90.0%,775,775,100.0%,"1,770","1,690",95.5%,"5,029","4,774",94.9%,"3,955","3,955",100.0%,"1,818","1,698",93.4%,"2,706","2,706",100.0%,"3,848","3,848",100.0%,"2,007","1,918",95.6%,"1,383","1,147",82.9%,"3,506","2,877",82.1%,"3,680","3,364",91.4%,"5,902","5,420",91.8%,"3,935","3,657",92.9%,974,974,100.0%,"5,050","4,657",92.2%,734,731,99.6%,"1,349","1,292",95.8%,"1,608","1,557",96.8%,399,399,100.0%,"4,912","4,589",93.4%,"1,079",882,81.7%,"8,643","8,140",94.2%,"5,903","5,500",93.2%,704,699,99.3%,"7,475","7,104",95.0%,"2,434","2,243",92.2%,"2,892","2,472",85.5%,"7,347","6,974",94.9%,291,291,100.0%,"2,035","1,538",75.6%,551,373,67.7%,"3,634","3,357",92.4%,"13,436","12,688",94.4%,"2,517","2,452",97.4%,200,200,100.0%,"4,247","4,102",96.6%,"4,572","4,363",95.4%,686,596,86.9%,"3,126","2,971",95.0%,379,339,89.4%,978,978,100.0%
    18 to 24 years (2021),"6,871,683","2,994,245",43.6%,"95,234","47,252",49.6%,"15,947","5,385",33.8%,"174,254","66,121",37.9%,"70,826","29,808",42.1%,"610,366","281,165",46.1%,"163,736","62,710",38.3%,"53,704","22,321",41.6%,"18,421","8,287",45.0%,"20,992","8,558",40.8%,"366,373","159,216",43.5%,"206,668","87,138",42.2%,"18,972","8,281",43.6%,"57,874","24,118",41.7%,"243,619","105,650",43.4%,"178,329","80,876",45.4%,"118,717","54,205",45.7%,"92,702","44,136",47.6%,"100,358","43,636",43.5%,"95,477","50,194",52.6%,"26,582","9,897",37.2%,"95,092","34,152",35.9%,"142,747","56,469",39.6%,"247,983","107,020",43.2%,"162,317","65,033",40.1%,"48,827","24,831",50.9%,"155,200","72,808",46.9%,"39,124","18,412",47.1%,"68,615","28,193",41.1%,"54,698","18,291",33.4%,"25,168","7,756",30.8%,"80,490","33,456",41.6%,"38,342","19,465",50.8%,"312,532","136,372",43.6%,"228,829","107,061",46.8%,"35,248","16,586",47.1%,"293,598","116,765",39.8%,"109,327","50,098",45.8%,"121,989","57,401",47.1%,"224,156","100,408",44.8%,"24,491","14,341",58.6%,"107,474","54,083",50.3%,"31,988","12,340",38.6%,"152,524","69,536",45.6%,"611,053","261,680",42.8%,"100,752","42,561",42.2%,"18,473","9,246",50.1%,"183,124","83,977",45.9%,"186,374","69,133",37.1%,"38,824","21,506",55.4%,"184,895","78,810",42.6%,"18,278","7,501",41.0%,"21,725","16,783",77.3%
    25 to 34 years (2021),"13,975,495","2,388,931",17.1%,"155,718","40,396",25.9%,"36,636","6,421",17.5%,"310,753","52,118",16.8%,"90,619","21,294",23.5%,"1,770,111","311,188",17.6%,"365,600","48,777",13.3%,"149,848","25,273",16.9%,"36,531","7,744",21.2%,"87,243","7,939",9.1%,"827,146","148,076",17.9%,"402,301","70,288",17.5%,"52,919","12,573",23.8%,"61,405","11,350",18.5%,"570,408","85,043",14.9%,"253,156","40,262",15.9%,"129,931","17,765",13.7%,"104,206","18,717",18.0%,"157,792","33,651",21.3%,"160,484","44,701",27.9%,"59,129","10,076",17.0%,"237,961","34,934",14.7%,"389,386","49,383",12.7%,"404,321","72,059",17.8%,"277,693","38,055",13.7%,"72,437","18,432",25.4%,"242,411","43,529",18.0%,"52,556","8,172",15.5%,"79,926","11,757",14.7%,"151,293","29,115",19.2%,"62,468","5,275",8.4%,"330,535","51,102",15.5%,"76,095","16,493",21.7%,"966,980","168,642",17.4%,"421,930","76,100",18.0%,"39,480","4,105",10.4%,"498,211","92,826",18.6%,"145,541","30,687",21.1%,"240,521","48,158",20.0%,"545,733","95,548",17.5%,"54,249","9,504",17.5%,"181,144","38,630",21.3%,"36,020","6,165",17.1%,"270,636","51,602",19.1%,"1,128,105","179,907",15.9%,"118,309","19,848",16.8%,"32,785","5,591",17.1%,"368,836","50,685",13.7%,"428,944","61,079",14.2%,"56,841","14,271",25.1%,"259,324","39,200",15.1%,"22,888","4,425",19.3%,"69,145","30,970",44.8%
    35 to 44 years (2021),"8,155,361","1,640,597",20.1%,"104,456","31,009",29.7%,"23,091","3,935",17.0%,"171,228","32,345",18.9%,"60,948","17,977",29.5%,"1,044,166","207,687",19.9%,"173,028","26,036",15.0%,"82,923","18,506",22.3%,"20,938","4,531",21.6%,"39,452","4,940",12.5%,"536,331","105,931",19.8%,"255,142","53,572",21.0%,"39,504","10,168",25.7%,"40,646","7,613",18.7%,"308,548","58,564",19.0%,"149,655","33,161",22.2%,"75,995","15,044",19.8%,"65,788","14,369",21.8%,"100,363","25,003",24.9%,"115,622","29,445",25.5%,"32,586","7,261",22.3%,"153,660","25,425",16.5%,"174,605","31,312",17.9%,"226,203","49,634",21.9%,"150,273","24,129",16.1%,"61,097","15,960",26.1%,"142,943","28,982",20.3%,"29,951","6,593",22.0%,"43,837","10,084",23.0%,"99,486","22,949",23.1%,"30,178","5,005",16.6%,"200,181","36,552",18.3%,"53,429","14,775",27.7%,"565,820","111,745",19.7%,"258,157","56,015",21.7%,"21,223","3,550",16.7%,"268,728","60,197",22.4%,"86,633","21,320",24.6%,"137,989","26,739",19.4%,"305,602","60,551",19.8%,"31,312","5,302",16.9%,"109,236","25,720",23.5%,"19,015","3,318",17.4%,"165,110","38,267",23.2%,"667,075","122,396",18.3%,"67,523","11,051",16.4%,"16,720","2,238",13.4%,"214,572","34,635",16.1%,"216,910","37,889",17.5%,"41,178","13,431",32.6%,"142,319","26,231",18.4%,"13,986","1,505",10.8%,"73,712","29,997",40.7%
    45 to 54 years (2021),"7,765,156","1,793,298",23.1%,"120,441","34,137",28.3%,"21,560","4,062",18.8%,"163,581","35,784",21.9%,"69,144","18,265",26.4%,"873,827","204,332",23.4%,"132,535","23,346",17.6%,"82,878","17,194",20.7%,"21,796","4,199",19.3%,"24,485","5,981",24.4%,"541,585","120,929",22.3%,"257,860","59,777",23.2%,"30,880","6,804",22.0%,"35,086","6,541",18.6%,"292,612","67,990",23.2%,"165,578","37,841",22.9%,"69,372","16,529",23.8%,"62,477","14,893",23.8%,"112,613","37,444",33.3%,"108,856","32,948",30.3%,"38,981","10,207",26.2%,"139,826","26,491",18.9%,"169,517","34,555",20.4%,"242,476","57,400",23.7%,"139,972","24,270",17.3%,"64,925","21,016",32.4%,"147,278","38,012",25.8%,"27,602","4,483",16.2%,"39,593","8,380",21.2%,"85,962","18,041",21.0%,"31,835","5,233",16.4%,"194,494","41,111",21.1%,"53,787","17,237",32.0%,"516,754","132,648",25.7%,"261,896","62,544",23.9%,"14,833","3,887",26.2%,"301,573","73,269",24.3%,"88,812","20,425",23.0%,"111,516","26,708",23.9%,"312,168","72,135",23.1%,"27,039","5,483",20.3%,"117,106","28,362",24.2%,"19,051","3,576",18.8%,"172,219","38,224",22.2%,"604,673","130,875",21.6%,"50,345","12,295",24.4%,"16,553","4,349",26.3%,"195,991","39,226",20.0%,"185,624","36,241",19.5%,"44,159","14,532",32.9%,"148,354","29,265",19.7%,"13,076","3,822",29.2%,"87,521","43,923",50.2%
    55 to 64 years (2021),"10,393,891","2,814,695",27.1%,"164,496","55,721",33.9%,"27,955","5,600",20.0%,"220,372","57,385",26.0%,"99,998","35,593",35.6%,"1,034,618","278,960",27.0%,"172,179","41,069",23.9%,"126,716","28,801",22.7%,"36,845","8,373",22.7%,"32,924","10,834",32.9%,"756,817","207,618",27.4%,"300,214","80,589",26.8%,"40,378","13,313",33.0%,"49,000","11,523",23.5%,"392,690","108,150",27.5%,"226,578","58,413",25.8%,"107,828","23,646",21.9%,"86,341","18,958",22.0%,"149,642","53,063",35.5%,"149,607","52,422",35.0%,"62,541","15,939",25.5%,"193,489","44,092",22.8%,"237,045","56,045",23.6%,"360,350","105,909",29.4%,"188,812","40,282",21.3%,"99,820","36,970",37.0%,"213,922","63,057",29.5%,"36,898","9,385",25.4%,"57,997","14,076",24.3%,"110,663","31,068",28.1%,"50,688","10,244",20.2%,"271,087","62,113",22.9%,"77,803","25,414",32.7%,"695,574","195,636",28.1%,"342,040","94,744",27.7%,"24,876","6,137",24.7%,"431,091","123,133",28.6%,"121,303","37,719",31.1%,"143,960","42,000",29.2%,"453,536","119,306",26.3%,"40,549","8,800",21.7%,"173,647","48,005",27.6%,"28,359","5,646",19.9%,"226,145","69,981",30.9%,"703,799","188,321",26.8%,"55,611","11,551",20.8%,"25,536","5,122",20.1%,"253,209","57,076",22.5%,"238,124","58,944",24.8%,"63,098","23,368",37.0%,"216,776","48,819",22.5%,"20,345","5,762",28.3%,"117,756","69,355",58.9%
    65 to 74 years (2021),"9,282,057","1,939,652",20.9%,"148,271","33,493",22.6%,"19,747","3,856",19.5%,"213,730","40,956",19.2%,"83,623","23,458",28.1%,"907,900","212,086",23.4%,"156,379","26,693",17.1%,"113,066","21,730",19.2%,"30,031","4,444",14.8%,"24,615","4,806",19.5%,"706,394","160,676",22.7%,"256,681","53,140",20.7%,"41,527","8,908",21.5%,"51,943","10,213",19.7%,"366,178","72,494",19.8%,"190,142","34,170",18.0%,"93,002","16,380",17.6%,"83,370","14,587",17.5%,"125,805","27,410",21.8%,"139,768","39,112",28.0%,"54,932","10,155",18.5%,"168,526","30,527",18.1%,"209,190","42,474",20.3%,"322,526","59,873",18.6%,"161,586","28,583",17.7%,"85,953","22,254",25.9%,"180,169","34,587",19.2%,"39,795","7,458",18.7%,"53,096","10,082",19.0%,"100,182","18,936",18.9%,"44,197","6,382",14.4%,"246,906","49,056",19.9%,"73,691","14,557",19.8%,"616,540","142,749",23.2%,"285,967","61,369",21.5%,"20,528","3,525",17.2%,"381,407","77,128",20.2%,"112,013","26,340",23.5%,"141,854","26,534",18.7%,"411,158","78,352",19.1%,"37,689","8,801",23.4%,"163,235","34,799",21.3%,"28,736","5,862",20.4%,"205,025","45,786",22.3%,"602,082","140,373",23.3%,"50,790","10,693",21.1%,"24,550","4,738",19.3%,"234,609","42,297",18.0%,"211,400","37,880",17.9%,"58,858","13,698",23.3%,"185,434","32,960",17.8%,"17,261","2,232",12.9%,"119,377","66,572",55.8%
    75 years and over (2021),"7,807,442","1,662,071",21.3%,"125,837","28,752",22.8%,"10,269","1,302",12.7%,"181,054","35,010",19.3%,"76,308","17,564",23.0%,"766,911","193,395",25.2%,"104,327","19,311",18.5%,"104,070","18,809",18.1%,"28,995","4,628",16.0%,"18,015","3,473",19.3%,"672,858","149,000",22.1%,"191,500","38,962",20.3%,"33,350","6,416",19.2%,"40,177","8,687",21.6%,"318,300","65,152",20.5%,"159,076","27,609",17.4%,"88,025","16,301",18.5%,"72,438","13,311",18.4%,"106,521","28,639",26.9%,"102,186","27,458",26.9%,"42,284","9,295",22.0%,"138,526","27,473",19.8%,"189,061","43,812",23.2%,"265,319","49,036",18.5%,"145,806","27,774",19.0%,"69,399","19,160",27.6%,"158,244","31,891",20.2%,"28,127","5,310",18.9%,"50,744","8,653",17.1%,"70,990","16,364",23.1%,"33,094","6,209",18.8%,"226,259","47,692",21.1%,"54,151","14,108",26.1%,"538,931","126,571",23.5%,"243,610","51,196",21.0%,"19,859","4,103",20.7%,"321,364","60,778",18.9%,"90,320","17,682",19.6%,"113,668","23,739",20.9%,"379,467","77,095",20.3%,"29,354","6,613",22.5%,"118,458","25,336",21.4%,"22,633","4,072",18.0%,"157,028","30,419",19.4%,"460,860","106,554",23.1%,"41,984","7,487",17.8%,"21,413","3,923",18.3%,"189,583","34,834",18.4%,"165,711","29,307",17.7%,"49,191","10,201",20.7%,"157,742","29,868",18.9%,"14,045","1,737",12.4%,"110,822","69,097",62.3%
    Mean income deficit for unrelated individuals (dollars) (2021),"8,181",(X),(X),"7,847",(X),(X),"8,044",(X),(X),"8,581",(X),(X),"7,781",(X),(X),"8,701",(X),(X),"8,082",(X),(X),"8,043",(X),(X),"9,229",(X),(X),"9,092",(X),(X),"8,335",(X),(X),"8,448",(X),(X),"8,808",(X),(X),"7,379",(X),(X),"8,423",(X),(X),"8,324",(X),(X),"7,734",(X),(X),"7,983",(X),(X),"7,773",(X),(X),"7,847",(X),(X),"7,391",(X),(X),"8,608",(X),(X),"7,871",(X),(X),"7,740",(X),(X),"7,601",(X),(X),"7,423",(X),(X),"7,713",(X),(X),"7,164",(X),(X),"7,832",(X),(X),"9,093",(X),(X),"7,432",(X),(X),"8,134",(X),(X),"8,112",(X),(X),"8,235",(X),(X),"8,111",(X),(X),"7,348",(X),(X),"7,931",(X),(X),"7,754",(X),(X),"7,905",(X),(X),"7,937",(X),(X),"7,957",(X),(X),"8,255",(X),(X),"7,296",(X),(X),"8,107",(X),(X),"8,385",(X),(X),"8,384",(X),(X),"7,459",(X),(X),"8,223",(X),(X),"8,368",(X),(X),"7,975",(X),(X),"7,880",(X),(X),"8,108",(X),(X),"8,007",(X),(X)
"    Worked full-time, year-round in the past 12 months (2021)","27,521,334","901,585",3.3%,"348,845","17,521",5.0%,"70,151","2,736",3.9%,"625,365","17,889",2.9%,"212,762","7,003",3.3%,"2,990,041","83,476",2.8%,"626,523","21,317",3.4%,"297,019","7,035",2.4%,"76,942","2,170",2.8%,"141,024","2,540",1.8%,"1,840,177","65,338",3.6%,"874,312","31,610",3.6%,"98,956","4,951",5.0%,"134,394","8,303",6.2%,"1,091,646","32,778",3.0%,"562,175","18,466",3.3%,"303,162","11,668",3.8%,"251,084","9,124",3.6%,"319,159","12,418",3.9%,"342,794","19,350",5.6%,"121,528","2,749",2.3%,"540,359","12,815",2.4%,"670,200","12,939",1.9%,"762,296","28,464",3.7%,"537,560","14,500",2.7%,"181,734","11,408",6.3%,"522,317","22,170",4.2%,"102,607","4,842",4.7%,"179,061","7,975",4.5%,"271,551","7,987",2.9%,"133,841","1,952",1.5%,"676,334","15,298",2.3%,"157,302","8,129",5.2%,"1,704,413","39,764",2.3%,"880,355","34,913",4.0%,"79,233","3,959",5.0%,"1,021,965","31,768",3.1%,"317,370","15,982",5.0%,"389,763","13,469",3.5%,"1,075,773","28,948",2.7%,"102,435","3,698",3.6%,"399,022","17,306",4.3%,"83,877","3,146",3.8%,"572,889","20,353",3.6%,"2,295,710","83,855",3.7%,"227,548","9,569",4.2%,"61,099","1,694",2.8%,"786,326","21,857",2.8%,"715,535","15,471",2.2%,"122,148","5,425",4.4%,"573,069","21,216",3.7%,"49,583","2,271",4.6%,"149,794","10,887",7.3%
